date,close,high,low,open,quoteVolume,volume,weightedAverage
2016-02-16 02:25:00,0.01330144,0.01330144,0.01330144,0.01330144,21.83895127,0.29048949,0.01330144
2016-02-16 02:30:00,0.001,0.00221488,0.001,0.001,1609.35163,1.85700344,0.00115388
2016-02-16 02:35:00,0.00081415,0.00090001,0.00081415,0.00090001,996.89196091,0.85641748,0.00085908
2016-02-16 02:40:00,0.000688,0.0009,0.0005,0.0009,427.60351066,0.24809218,0.00058019
2016-02-16 02:45:00,0.00045099,0.00064977,0.00041004,0.0005,24346.55678036,11.16423296,0.00045855
2016-02-16 02:50:00,0.00046,0.00053,0.00046,0.0005,220.59485354,0.10885855,0.00049347
2016-02-16 02:55:00,0.00052,0.00053,0.0005,0.0005,5857.12088896,3.01297,0.00051441
2016-02-16 03:00:00,0.00053998,0.00053998,0.0005,0.000509,7591.64846675,4.01781709,0.00052924
2016-02-16 03:05:00,0.000533,0.00055,0.00045103,0.00053,10860.77204945,5.57700419,0.00051349
2016-02-16 03:10:00,0.00052506,0.000533,0.00051,0.000533,310.17328899,0.16512009,0.00053234
2016-02-16 03:15:00,0.0007,0.0007,0.0004511,0.000523,14627.47886203,8.21936051,0.00056191
2016-02-16 03:20:00,0.00074,0.00082468,0.0007,0.0007,6760.50672091,5.04892853,0.00074682
2016-02-16 03:25:00,0.000611,0.00074,0.00061,0.00074,1242.79127596,0.85813483,0.00069048
2016-02-16 03:30:00,0.00072,0.00072,0.000585,0.00069,2079.08486728,1.41706342,0.00068158
2016-02-16 03:35:00,0.000775,0.000775,0.0006975,0.0006999,12900.95220481,9.47244909,0.00073424
2016-02-16 03:40:00,0.000869,0.000879,0.00071,0.000775,9968.91554069,7.88868604,0.00079132
2016-02-16 03:45:00,0.00073002,0.000849,0.0007,0.0008,3316.00619593,2.40823787,0.00072624
2016-02-16 03:50:00,0.00058,0.0008,0.00058,0.00073002,6237.56336462,3.89828986,0.00062496
2016-02-16 03:55:00,0.00066,0.00071,0.00066,0.0007,2675.07193068,1.84604752,0.00069009
2016-02-16 04:00:00,0.0006399,0.00069,0.00058076,0.00065,3421.7873705,2.0815035,0.0006083
2016-02-16 04:05:00,0.000625,0.0006299,0.00055001,0.00058121,7899.00887455,4.62510516,0.00058552
2016-02-16 04:10:00,0.0006199,0.00062,0.0006,0.00061,1473.20233489,0.90203029,0.00061229
2016-02-16 04:15:00,0.00063989,0.00064,0.0005925,0.00061989,5391.120597,3.37480387,0.00062599
2016-02-16 04:20:00,0.0006,0.0006399,0.000588,0.0006399,3127.18103577,1.99055595,0.00063653
2016-02-16 04:25:00,0.000619,0.000638,0.0006,0.00060001,1670.18233635,1.02703542,0.00061492
2016-02-16 04:30:00,0.00055,0.00063,0.00055,0.00061899,10436.04183807,5.87784891,0.00056322
2016-02-16 04:35:00,0.00053982,0.000629,0.0004953,0.00059994,19911.73672405,10.45662007,0.00052514
2016-02-16 04:40:00,0.0005375,0.000565,0.00051203,0.00055999,628.7752163,0.33592446,0.00053425
2016-02-16 04:45:00,0.00046,0.00056149,0.00045101,0.00056149,4070.806078,1.94536592,0.00047788
2016-02-16 04:50:00,0.0005195,0.00053496,0.0004601,0.00049293,1114.98976191,0.55169309,0.00049479
2016-02-16 04:55:00,0.00051945,0.00051945,0.00051944,0.00051945,10.0,0.00519443,0.00051944
2016-02-16 05:00:00,0.00058652,0.00058652,0.00049005,0.00052,8886.96292952,5.00784507,0.0005635
2016-02-16 05:05:00,0.0006,0.0006389,0.00057,0.00058,6344.37155137,3.73695581,0.00058901
2016-02-16 05:10:00,0.00061,0.00061145,0.00053,0.00053,1312.57742039,0.76328733,0.00058151
2016-02-16 05:15:00,0.00058,0.00061144,0.000561,0.00061,2568.01184066,1.50434967,0.0005858
